n,start
al01,-25
al02,-25
al047a,-21
al047b,-24
al098a,-15
al098b,-15
al148a,-15
al148b,-9
al198a,-8
al198b,-4
Al398a,-4.5
Al398b,-4.5
Alth01,-4
Alth02,-4
Alth047a,-15
Alth047b,-15
Alth098a,-13
Alth098b,-13
Alth148a,-8.5
Alth148b,-8.5
Alth198a,-8
Alth198b,-8
Alth398a,-3.5
Alth398b,-3.5
Br01,-20
Br02,-55
Br047a,-50
Br047b,-15
Br098a,-20
Br098b,-20
Br148a,-50
Br148b,-50
Br198a,-50
Br198b,-35
Br398a,-24
Br398b,-25
St01,-20
St02,-10
St047a,-23
St047b,-23
St098a,-50
St098b,-50
St148a,-50
St148b,-5
St198a,-30
St198b,-5
St398a,-50
St398b,-50
